,date,tweet,location
42,2020-05-09,"Who is going to win the race for #COVID19vaccine ? 

Putting Covid 19 Vaccine on Public Domain - Sign the Petition!… https://t.co/EMUDd69Nfg",
43,2020-05-09,"Ngipholise cover by ANELISWA https://t.co/SoPzxln3tR via @YouTube 

#extendlockdown 

🛐®️©️ AFRICA 🙏🏽WORLD 🌍… https://t.co/UgAx0igzd7",The Kingdom
44,2020-05-09,RT @gsiwo: COVID-19 https://t.co/dWPu1Rqjji now includes information on 101 vaccine candidates being developed across 21 countries using ab…,United States
45,2020-05-09,@WhiteHouse staff member (Aide of Mike Pence) test positive for #COVIDー19 May Allah protect the Indian Parliament.… https://t.co/kouUviZu0t,"नई दिल्ली, भारत"
46,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",Lewis Run PA
47,2020-05-09,@SecAzar please do the right thing and reinstate Dr Bright to Director of @BARDA we need him their work in on finding the #COVID19vaccine !,
48,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Lewis Run, PA"
49,2020-05-09,India still has about one week left before deciding the fate of its nationwide #lockdown. If there are lessons to b… https://t.co/LbIAIV1Ogw,India
50,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Pretoria Cbd
51,2020-05-09,RT @ketan72: Pune-based BJ Medical College (BJMC) &amp; Sassoon General Hospitals (SGH) will be the first in Maharashtra to conduct trials for…,
52,2020-05-09,"RT @PratibaRaman: Italian company #ReiThera said its #COVID19vaccine had shown a ""strong immune response"" in #animals. Researchers in #Ital…",
53,2020-05-09,Pune-based BJ Medical College (BJMC) &amp; Sassoon General Hospitals (SGH) will be the first in Maharashtra to conduct… https://t.co/U1i3qIJOXc,India
54,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Joburg/Windhoek
55,2020-05-09,"Researchers in the @BCM_TropMed, and @TexasChildrens have partnered with PATH to develop a low-cost, safe, and effe… https://t.co/Y1VY3x9kPd","Houston, Texas"
56,2020-05-09,"First #COVID19 vaccine test on animals successful
#COVID19vaccine https://t.co/eqCCSAUcMN via @cgtnofficial",India
57,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Lagos, Nigeria"
58,2020-05-09,"Coronavirus Clearly Explained in just 1 minute....
#coronavaccine #vaccine #COVID19vaccine 

https://t.co/G9wlWSS3uG","Attur, India"
59,2020-05-09,"A majority of vaccine skeptics plan to refuse a #COVID19vaccine, a study suggests, and that could be a big problem… https://t.co/TFxEZ6ZEpK","San Francisco, CA"
60,2020-05-09,Unapproved #COVID19Vaccine Might be Released by Regulators; Global Testing of Potential #Vaccine in Talks https://t.co/499m389RW9,Philippines
61,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",SOSHANGUVE
62,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
63,2020-05-09,An incredible #goodnewsstory of #vaccinations for the prevention of #smallpox and particularly relevant as I sit a… https://t.co/FuQzRJ5wPy,
64,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",Canada
65,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Kalamazoo, MI"
66,2020-05-09,"Perhaps you're wondering why the #COVID19vaccine should take up to a year? Well, the development cycle of a vaccine… https://t.co/VW2hHwY4Fr","P.O Box 9974, Kampala Uganda,"
67,2020-05-09,"@cnni Who will get the Covid19 #vaccine first?
Who will get the #Covid19vaccine last?
The idea of “Social murder,”… https://t.co/CIc1m5n73p","Dallas, TX"
68,2020-05-09,RT @CapeTalk: Almost everybody alive in South Africa today got this TB vaccine. https://t.co/dWyZYJQTXp #COVID19vaccine,"California, north mostly"
69,2020-05-09,@jack_sommers Thank you from all of us. Im in recovery and although out of serious trouble the recovery is taking w… https://t.co/GASZkc13PJ,"Lewisham, London"
70,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Accra, Ghana"
71,2020-05-09,At #LiquorShops in India no one is questioning the hiked pricing. Imagine if it would have been a medical shop sell… https://t.co/ibd8ikOBYB,🇮🇳 🇫🇷 🇮🇹 🇨🇦 🇺🇸
72,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,Beyond the stars! 
73,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
74,2020-05-09,RT @NewsBytesApp: PiCoVacc - It uses an inactive SARS-CoV-2 to generate an immune response against the active version of the virus. #COVID1…,World-wide
75,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,World-wide
76,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,World-wide
77,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,World-wide
78,2020-05-09,RT @ausgoldindustry: BREAKING NEWS | @NewcrestMining has announced a A$1 million contribution to support cutting edge #COVID19 vaccine rese…,"Perth, Western Australia"
79,2020-05-09,BREAKING NEWS | @NewcrestMining has announced a A$1 million contribution to support cutting edge #COVID19 vaccine r… https://t.co/HdImTauHZ4,"Perth, Australia"
80,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,Born in Yorkshire 
81,2020-05-09,"I prefer a few years of recession to a few years of funerals.

Let the economy flatline for a while so that I don't… https://t.co/fDYejYTu0b","Melbourne, Victoria"
82,2020-05-09,"RT @GRIDD_GU: Attend a free online Impact event on Tuesday 12th May at 1pm titled 'Hunt for a COVID 19 vaccine', presented by #GRIDD's Prof…","Melbourne, Victoria"
83,2020-05-09,"RT @asialegal_vn: World leaders urge cooperation in vaccine hunt, raise US$8 billion

View more at:
https://t.co/da7djE9BoO

#asialegal #bu…",Asia Pacific
84,2020-05-09,"RT @IWF: ""The U.S. will lead vaccination development. This is why these human trials are happening. Most likely, the U.S. will also stipula…",
85,2020-05-09,"RT @IWF: ""The U.S. will lead vaccination development. This is why these human trials are happening. Most likely, the U.S. will also stipula…","Tybee Island, GA"
86,2020-05-09,"RT @IWF: ""The U.S. will lead vaccination development. This is why these human trials are happening. Most likely, the U.S. will also stipula…",BackYard
87,2020-05-09,"RT @IWF: ""The U.S. will lead vaccination development. This is why these human trials are happening. Most likely, the U.S. will also stipula…",New York City
88,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
89,2020-05-09,"SOON BOOSTER DOSE OF  BCG VACCINE COMING TO EVERY DOORSTEP. COVID19 VACCINE NOT BEFORE 2022.
#COVID19vaccine",bhopal
90,2020-05-09,RT @thefuselight: (1/2) Why does it take so long to produce a vaccine? BBC The Inquiry podcast walks thru the stages &amp; why expediting the p…,"Victoria, British Columbia"
91,2020-05-09,"RT @GRIDD_GU: Attend a free online Impact event on Tuesday 12th May at 1pm titled 'Hunt for a COVID 19 vaccine', presented by #GRIDD's Prof…","Brisbane, Queensland, Australia"
92,2020-05-09,RT @thefuselight: (1/2) Why does it take so long to produce a vaccine? BBC The Inquiry podcast walks thru the stages &amp; why expediting the p…,Victoria BC Canada
93,2020-05-09,(1/2) Why does it take so long to produce a vaccine? BBC The Inquiry podcast walks thru the stages &amp; why expediting… https://t.co/QwGlFuK6kU,
94,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…","Higher Self  ,Within ,"
95,2020-05-09,"#Biopharma players worldwide have committed big money and talent to the hunt for a #COVID19Vaccine, striking some u… https://t.co/DZwHgtcZu9","South San Francisco, CA"
96,2020-05-09,"RT @tatvamasi0: Instead of looking 4 healthcare solutions, they r instead working on the perfection of their control grid as if their finan…",India
97,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
98,2020-05-09,"Instead of looking 4 healthcare solutions, they r instead working on the perfection of their control grid as if the… https://t.co/oxurGTc68u",
99,2020-05-09,"RT @sujewe: You are welcome to join this Webinar session on Covid19 Vaccine in Africa
https://t.co/JrzVjFD1yA
#COVID19 #COVID19vaccine #cov…",My Secret Garden
100,2020-05-09,"Social distancing &amp; self isolation are #COVID19vaccine.
#COVIDisNotFlu",پاکستان
101,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
102,2020-05-09,"RT @novapbs: A majority of vaccine skeptics plan to refuse a #COVID19vaccine and that could be a problem, @ConversationUS reports: https://…","St Paul, MN"
103,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
104,2020-05-09,"Today when ppl r gossiping different theories abt Corona; one thing is for sure - ""Life has changed"" &amp; the World wi… https://t.co/HzWIHM8x63",
105,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,"Jaipur, India"
106,2020-05-09,"Our own Susan Ellenberg speaks to @GMA about the race to find a #COVID19Vaccine: ""I always worry about cutting corn… https://t.co/EQFtdmNKWO","Philadelphia, PA"
107,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",California
108,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
109,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",കേരളം
110,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
111,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Occupied Azania
112,2020-05-09,"""The U.S. will lead vaccination development. This is why these human trials are happening. Most likely, the U.S. wi… https://t.co/pES516xTK0","Washington, D.C."
113,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Durban, South Africa"
114,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,"ojai, ca"
115,2020-05-09,RT @NewsBytesApp: mRNA-1273 - This vaccine uses parts of the coronavirus' genetic material to generate an immune response from the body. #C…,"Gurugram, India"
116,2020-05-09,RT @NewsBytesApp: INO-4800 -  It is a DNA-based vaccine that delivers genetic material of the virus into the cells and increases the produc…,"Gurugram, India"
117,2020-05-09,RT @NewsBytesApp: ChAdOx1 - It uses a modified adenovirus to deliver the coronavirus' genetic material into the body and prime the immune s…,"Gurugram, India"
118,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",Johannesburg
119,2020-05-09,RT @Dr_Pam_Jarvis: Wouldn't this be somewhat dangerous for retired people over 60 prior to the availability of a #COVID19vaccine ? Seems ex…,"Suffolk, UK. "
120,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Bloemfontein,South Africa"
